#{"t_start": 1684358533.0692818, "env_id": null}
r,l,t
12,12,3565.969368
15,15,3572.164115
16,16,3580.289171
13,13,3586.672322
14,14,3592.822716
12,12,3599.229902
12,12,3605.488589
20,20,3612.696151
15,15,3619.666544
18,18,3627.096728
17,17,3633.239229
12,12,3639.513346
17,17,3647.405204
14,14,3653.663395
13,13,3660.095038
14,14,3666.17873
12,12,3672.612456
17,17,3678.737325
23,23,3688.229003
13,13,3694.46193
14,14,3700.895778
14,14,3707.028086
10,10,3713.185969
20,20,3722.652395
16,16,3729.077671
14,14,3735.153038
15,15,3743.335492
15,15,3749.494539
13,13,3756.102645
12,12,3762.6516
14,14,3769.235735
11,11,3775.676527
16,16,3782.26812
19,19,3788.742745
12,12,3795.126474
17,17,3802.717737
12,12,3809.209546
12,12,3815.437398
16,16,3821.867542
16,16,3828.009921
15,15,3835.440004
17,17,3841.983069
13,13,3848.24117
14,14,3854.650239
20,20,3863.476681
13,13,3869.641405
15,15,3876.066354
12,12,3882.397759
11,11,3888.752049
20,20,3896.269317
13,13,3902.655874
12,12,3909.157142
14,14,3915.290515
17,17,3922.482256
14,14,3929.548071
14,14,3936.075248
16,16,3944.190246
16,16,3951.210361
18,18,3958.68891
9,9,3964.922183
15,15,3971.363535
11,11,3977.505706
15,15,3983.871765
16,16,3990.3385
16,16,3996.449923
18,18,4002.657599
12,12,4008.845973
19,19,4014.963113
13,13,4021.471565
12,12,4027.812979
14,14,4034.1458
19,19,4042.828827
18,18,4050.263108
17,17,4058.137062
14,14,4064.606227
12,12,4070.776351
12,12,4077.59555
16,16,4085.377758
12,12,4091.745327
14,14,4099.072168
33,33,4110.388963
12,12,4116.518755
15,15,4123.927408
18,18,4132.052772
17,17,4139.369128
18,18,4145.705069
20,20,4153.142718
22,22,4161.901445
11,11,4168.354228
13,13,4174.543968
13,13,4180.784055
15,15,4186.992194
20,20,4193.919817
15,15,4200.325675
16,16,4207.392246
16,16,4214.742447
15,15,4220.949974
20,20,4230.528297
17,17,4237.574818
16,16,4243.749321
12,12,4249.865885
15,15,4256.043168
13,13,4262.507532
12,12,4269.032878
12,12,4275.16534
26,26,4287.202805
12,12,4293.473491
11,11,4299.806639
20,20,4309.198889
15,15,4316.480684
15,15,4323.104186
16,16,4329.165405
17,17,4335.714109
10,10,4341.950265
19,19,4349.26347
20,20,4357.988947
21,21,4366.49729
15,15,4372.871619
14,14,4379.280085
10,10,4385.63815
32,32,4396.545389
20,20,4403.978894
19,19,4411.81273
19,19,4419.295827
11,11,4425.437237
13,13,4431.987069
11,11,4438.861438
12,12,4445.178512
14,14,4451.352441
11,11,4457.829086
14,14,4464.120159
16,16,4470.227976
14,14,4477.602755
21,21,4486.777656
12,12,4493.377205
15,15,4500.93594
15,15,4507.476763
16,16,4514.660526
12,12,4520.717829
23,23,4531.534227
15,15,4537.801165
15,15,4544.043394
14,14,4550.301614
10,10,4556.676362
20,20,4563.059228
15,15,4569.583992
11,11,4575.703362
18,18,4584.685371
24,24,4593.52536
12,12,4599.683813
19,19,4606.741791
12,12,4612.891315
15,15,4619.191151
25,25,4629.882394
12,12,4636.043261
13,13,4642.185865
15,15,4648.540481
11,11,4654.666373
12,12,4660.948511
28,28,4669.606254
18,18,4675.756031
13,13,4681.848482
21,21,4690.181822
14,14,4696.455629
18,18,4702.547306
14,14,4709.597801
14,14,4716.064155
14,14,4722.441728
16,16,4728.922764
10,10,4735.041632
10,10,4741.247306
20,20,4749.480258
16,16,4755.938236
11,11,4762.015508
13,13,4768.179835
14,14,4775.470781
17,17,4781.84609
35,35,4793.270685
20,20,4801.162042
14,14,4807.304031
15,15,4814.303168
12,12,4820.795663
14,14,4826.936714
14,14,4833.044826
16,16,4839.202481
17,17,4845.728453
12,12,4852.195186
24,24,4861.2523
11,11,4867.443326
13,13,4874.087048
15,15,4880.33527
22,22,4887.827281
14,14,4895.002074
15,15,4901.178339
15,15,4907.634955
16,16,4914.259919
